Step,algorithm,seed,actor/entropy_loss
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,44,0.6032586693763733
3,qwen2.5-1.5b-2gpu-GRPO,42,0.6112478375434875
3,qwen2.5-1.5b-2gpu-GRPO,43,0.5866186022758484
3,qwen2.5-1.5b-2gpu-GRPO,44,0.5915986895561218
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,42,0.59238001704216
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,43,0.5917392373085022
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,44,0.6056457757949829
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,42,0.6041022539138794
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,43,0.5896947383880615
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,44,0.5897016525268555
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,42,0.6097627878189087
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,43,0.5850067734718323
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,44,0.5938554406166077
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,42,0.6087538599967957
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,43,0.6001753807067871
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,44,0.5897374153137207
3,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42,0.6177820563316345
3,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,43,0.5832421183586121
3,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42+1,0.5840547680854797
3,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42,0.608234703540802
3,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,43,0.5833925008773804
3,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42+1,0.5731056928634644
3,qwen2.5-1.5b-2gpu-PPO,42,0.5896019339561462
3,qwen2.5-1.5b-2gpu-PPO,43,0.5819483399391174
3,qwen2.5-1.5b-2gpu-PPO,44,0.5763335227966309
3,qwen2.5-1.5b-2gpu-PPO,42+1,0.5818056464195251
3,qwen2.5-1.5b-2gpu-PPO-C51,42,0.5929069519042969
3,qwen2.5-1.5b-2gpu-PPO-C51,43,0.5920484066009521
3,qwen2.5-1.5b-2gpu-PPO-C51,44,0.5874676704406738
3,qwen2.5-1.5b-2gpu-PPO-QRDQN,42,0.6058523058891296
3,qwen2.5-1.5b-2gpu-PPO-QRDQN,43,0.5896077752113342
3,qwen2.5-1.5b-2gpu-PPO-QRDQN,44,0.5823284387588501
3,qwen2.5-1.5b-2gpu-PPO-iqn,42,0.6002310514450073
3,qwen2.5-1.5b-2gpu-PPO-iqn,43,0.589249849319458
3,qwen2.5-1.5b-2gpu-PPO-iqn,44,0.5859549045562744
3,qwen2.5-1.5b-2gpu-PPO-distributionalv2-iqn-8-1epoch,42+1,0.5921855568885803
3,qwen2.5-1.5b-2gpu-PPO-2,42+1,0.5989465713500977
3,qwen2.5-1.5b-2gpu-PPO-8,42+1,0.5827861428260803
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,42,0.5949997901916504
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,43,0.6089551448822021
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,44,0.5882854461669922
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,42,0.5805707573890686
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,43,0.6078613996505737
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,44,0.5778951048851013
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,42,0.597377598285675
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,43,0.6105442047119141
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,44,0.5927432775497437
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,42,0.5917035341262817
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,43,0.6289388537406921
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,44,0.5982223749160767
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,42,0.5824426412582397
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,43,0.6044846177101135
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,44,0.5906866788864136
4,qwen2.5-1.5b-2gpu-GRPO,42,0.5951334238052368
4,qwen2.5-1.5b-2gpu-GRPO,43,0.6119940876960754
4,qwen2.5-1.5b-2gpu-GRPO,44,0.5944985747337341
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,42,0.591843843460083
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,43,0.6262911558151245
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,44,0.5904079079627991
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,42,0.6018915176391602
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,43,0.6137784719467163
4,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,44,0.5922357439994812
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,42,0.5984635353088379
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,43,0.6112438440322876
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,44,0.5928813815116882
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,42,0.610291063785553
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,43,0.6006409525871277
4,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,44,0.5797950029373169
4,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42,0.5977588891983032
4,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,43,0.6095173954963684
